src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.64.1,192.168.64.2,137,137,17,2026-02-06 14:57:06,198.3387188911438,4.436854311250135,0.04033503919318305,0.04033503919318305,0.0,8,0,880,0,110,110,110.0,0.0,0,0,0,0.0,110,110,110.0,0.0,0.0,160,0,20,8,28.334102698734828,129.87427306175232,0.0,46.8465249454724,198.3387188911438,129.87427306175232,0.0,28.334102698734828,46.8465249454724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0,0,0,8,0,880,0
192.168.64.137,160.25.232.6,43596,123,17,2026-02-06 14:56:27,0.02331995964050293,11578.06463485702,128.64516260952246,85.76344173968162,42.88172086984081,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.011659979820251465,0.02331995964050293,0.0,0.011659979820251465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
192.168.64.137,160.25.232.6,39657,123,17,2026-02-06 14:57:01,0.02379298210144043,11347.88396212235,126.08759957913723,84.05839971942483,42.02919985971241,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.011896491050720215,0.02379298210144043,0.0,0.011896491050720215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
192.168.64.137,160.25.232.6,37863,123,17,2026-02-06 14:57:33,0.02309393882751465,11691.379370864004,129.90421523182226,86.60281015454818,43.30140507727409,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.011546969413757324,0.02309393882751465,0.0,0.011546969413757324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
192.168.64.1,239.255.255.250,65070,1900,17,2026-02-06 14:57:50,3.0093891620635986,352.23094884582383,1.6614667398387917,1.6614667398387917,0.0,5,0,1060,0,212,212,212.0,0.0,0,0,0,0.0,212,212,212.0,0.0,0.0,100,0,20,5,0.7523472905158997,1.0060222148895264,0.0,0.434371622045225,3.0093891620635986,1.0060222148895264,0.0,0.7523472905158997,0.434371622045225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,212.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.0,0,0,5,0,1060,0
192.168.64.137,160.25.232.6,46086,123,17,2026-02-06 14:58:06,0.022676944732666016,11906.365834682592,132.29295371869546,88.1953024791303,44.09765123956515,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.011338472366333008,0.022676944732666016,0.0,0.011338472366333008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
192.168.64.137,160.25.232.6,47242,123,17,2026-02-06 14:58:40,0.026562929153442383,10164.54166030894,112.93935178121045,75.29290118747363,37.646450593736816,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.013281464576721191,0.026562929153442383,0.0,0.013281464576721191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
192.168.64.137,160.25.232.6,57382,123,17,2026-02-06 14:59:13,0.027926921844482422,9668.090221455768,107.42322468284188,71.61548312189458,35.80774156094729,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.013963460922241211,0.027926921844482422,0.0,0.013963460922241211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
192.168.64.137,192.168.64.254,68,67,17,2026-02-06 14:59:17,0.0002651214599609375,3734137.5539568346,11315.568345323742,7543.712230215828,3771.856115107914,2,1,648,342,324,324,324.0,0.0,342,342,342.0,0.0,342,324,330.0,8.48528137423857,72.0,40,20,20,2,0.00013256072998046875,0.0002651214599609375,0.0,0.00013256072998046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,330.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.0,342.0,0,2,1,648,342
192.168.64.137,160.25.232.6,49254,123,17,2026-02-06 14:59:46,0.026892900466918945,10039.82446341658,111.5536051490731,74.36907009938207,37.184535049691036,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.013446450233459473,0.026892900466918945,0.0,0.013446450233459473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
